Budget,Mean Estimate,Std Dev,Ground Truth
500,7440.0,199.10912697424104,7417
1000,7406.0,98.6801792548928,7417
2000,7362.0,62.72515001532067,7417
5000,7424.4,60.18342333603537,7417
