epoch,avg_d_loss,avg_g_loss,avg_d_real_prob,avg_d_fake_prob
1,0.8290019982263573,2.0206540507129116,0.6939988745710789,0.20651779523115352
2,0.973114813112805,1.4459574120676415,0.6206433036261134,0.276383817450613
3,1.0213556302408886,1.4320978752822957,0.6131469874809949,0.28343129484380924
4,1.113519031013179,1.2737188801551476,0.5794056347037992,0.3180225687658685
5,1.14719628307045,1.2253842174242704,0.5657553391324149,0.331558978328338
6,1.1526855729584,1.1992650845876107,0.5612964756213702,0.33569410516538173
7,1.1489616656660016,1.2071813525807145,0.5624600443193036,0.33562412966265637
8,1.1479302363263235,1.2115441947920709,0.5630207213326397,0.33465031002703893
9,1.142954835270205,1.2153247234403577,0.5644900509052806,0.3333595341596848
10,1.141978915175821,1.2394212256384711,0.5652097675662774,0.33224002036273986
11,1.1403063028796105,1.236850936188657,0.5651818846280758,0.3322994716656514
12,1.138299935648584,1.2504288076590269,0.5676849409937859,0.3303997439579067
13,1.131766331501496,1.2443530182553153,0.5690073895658183,0.32883562231993574
14,1.1341160729400113,1.2521258587511177,0.5690761228275095,0.3283915204497484
15,1.1277960005224261,1.271393138374019,0.5709546839452198,0.3267524114085568
16,1.1304060542940075,1.2740404189397128,0.5721289339738015,0.3263202353547781
17,1.1255626286196911,1.2707840262824655,0.5725533918310435,0.32478540632714575
18,1.1233387409876554,1.2895712713655243,0.5741682954005196,0.32340766771290547
19,1.1219547894011197,1.2891544544289255,0.5740869996639398,0.32407629773275465
20,1.1225269532356508,1.2973351464567022,0.5752850499035965,0.32313805508116883
21,1.1178686965225089,1.271098486123941,0.5758994035741203,0.3219290046483024
22,1.1105014830827713,1.2906198831450226,0.5789774164684818,0.31849716616491985
23,1.1071964513797026,1.29543124164781,0.5814140825572177,0.31661775302237427
24,1.1102808550891714,1.3091378113907626,0.5807471449813272,0.31719385558723384
25,1.1126482382289364,1.2982829990040543,0.5798488766846494,0.3181543172392835
26,1.1091726190514035,1.3012719839556603,0.5815256984952168,0.3167665345896768
27,1.1096502031780715,1.2956259472247882,0.5807073171704243,0.3171106600799622
28,1.1083413710196812,1.3112364638055491,0.5821108942867345,0.31607752414340645
29,1.1099019491264963,1.290577383377613,0.5814776013040135,0.3165384334567775
30,1.109235380577226,1.2940536215264573,0.5807920170263348,0.317212919680736
31,1.1133489718294551,1.3073193828264873,0.5800862437766842,0.3182683830969354
32,1.1085370124405265,1.2938854004073346,0.5817564433583846,0.31700131083782923
33,1.1136095725063584,1.29751737581359,0.580958704981539,0.31746015670653593
34,1.1125750890654376,1.278903637941067,0.579035838190307,0.31859884283736223
35,1.123409799913056,1.2786850565009646,0.5780215844129905,0.3205094509877456
36,1.1112534798618057,1.2793083309363096,0.5800064836557095,0.3186211877653741
37,1.1165167587435143,1.2881776136465561,0.5791003418147055,0.31841762758727765
38,1.1259633261933286,1.2842559101235154,0.576637973324356,0.3222148068185545
39,1.1186694705333464,1.2783850180542367,0.5780536510750779,0.3205680902569722
40,1.1143504730147173,1.2680422647131815,0.5798454469340479,0.3188010384448064
41,1.1172266900539398,1.2703415360460935,0.5779360769014074,0.32054586027167803
42,1.122010864253737,1.2783877276457274,0.5779892116402968,0.3205508446145771
43,1.1103170474625041,1.2829526723959508,0.5802743117141927,0.3183747589206084
44,1.1221344602158947,1.2661710618398128,0.5774261381508957,0.3208043897030955
45,1.130549763639768,1.2670218568836522,0.5736778444077215,0.3252467047263924
46,1.1232951911341431,1.274350364238788,0.5764452347006553,0.3227735172925342
47,1.1338180476783688,1.2569259419145746,0.5715768765180539,0.32658258924244815
48,1.1334365599939966,1.2554339236683316,0.5726228108008703,0.32617291941856724
49,1.1284672889189842,1.26681938703753,0.5740381172324858,0.324340887940847
50,1.1339116867026713,1.2664927889903386,0.5720569902123549,0.32700330544358647
51,1.1263027445882814,1.24891531199981,0.5740044981113865,0.32412992532436663
52,1.1302648161211584,1.25878063048053,0.5732422953742182,0.32541753931177986
53,1.1348369591511214,1.247411925950621,0.5720488693979051,0.3273654094236529
54,1.135126139745753,1.2554270181900415,0.5723854752942028,0.32664931347418547
55,1.12596422739518,1.246759115248664,0.5739060184385023,0.32482604131612003
56,1.1313489930242555,1.2612104720284796,0.5735979799149383,0.32522096790564364
57,1.1307996166312797,1.2521877804627786,0.5725718308717777,0.3263231241741242
58,1.1349707175778527,1.2388256988209536,0.571925613615248,0.3266509340550655
59,1.1420731927849288,1.2344293849081056,0.569644233609876,0.32989721371131575
60,1.1318494355321949,1.2444672328539383,0.5718613156778181,0.3272780298900146
